1|1|1001|1
2|2|1001|2
3|3|1001|3
4|4|1002|1
5|5|1002|2
6|6|1002|3
7|7|1002|4
8|8|1002|5
9|9|1002|6
10|10|1002|7
11|11|1002|8
12|12|1002|9
13|13|1002|10
14|14|1002|11
15|15|1003|1
16|16|1003|2
17|17|1003|3
18|18|1003|4
19|19|1003|5
20|20|1003|6
21|21|1003|7
22|22|1003|8
23|23|1003|9
24|24|1003|10
25|25|1003|11
26|26|1003|12
27|27|1003|13
28|28|1003|14
29|29|1003|15
30|30|1003|16
31|31|1003|17
32|32|1004|1
33|33|1004|2
34|34|1004|3
35|35|1004|4
36|36|1004|5
37|37|1004|6
38|38|1004|7
39|39|1004|8
40|40|1004|9
41|41|1004|10
42|42|1004|11
43|43|1004|12
44|44|1004|13
45|45|1004|14
46|46|1004|15
47|47|1004|16
48|48|1004|17
49|49|1004|18
50|50|1004|19
51|51|1004|20
52|52|1004|21
53|53|1004|22
54|54|1004|23
55|55|1005|1
56|56|1005|2
57|57|1005|3
58|58|1005|4
59|59|1005|5
60|60|1005|6
61|61|1005|7
62|62|1005|8
63|63|1005|9
64|64|1005|10
65|65|1005|11
66|66|1005|12
67|67|1005|13
68|68|1005|14
69|69|1005|15
70|70|1006|1
71|71|1006|2
72|72|1006|3
73|73|1006|4
74|74|1006|5
75|75|1006|6
76|76|1006|7
77|77|1006|8
78|78|1006|9
79|79|1006|10
80|80|1006|11
81|81|1006|12
82|82|1006|13
83|83|1006|14
84|84|1006|15
85|85|1006|16
86|86|1006|17
87|87|1006|18
88|88|1007|1
89|89|1007|2
90|90|1007|3
91|91|1007|4
92|92|1007|5
93|93|1007|6
94|94|1007|7
95|95|1007|8
96|96|1007|9
97|97|1007|10
98|98|1007|11
99|99|1007|12
100|100|1007|13
101|101|1008|1
102|102|1008|2
103|103|1008|3
104|104|1008|4
105|105|1008|5
106|106|1008|6
107|107|1008|7
108|108|1008|8
109|109|1008|9
110|110|1008|10
111|111|1008|11
112|112|1008|12
113|113|1008|13
114|114|1008|14
115|115|1008|15
116|116|1008|16
117|117|1008|17
118|118|1008|18
119|119|1008|19
120|120|1008|20
121|121|1008|21
122|122|1008|22
123|123|1008|23
124|124|1008|24
125|125|1008|25
126|126|1008|26
127|127|2002|1
128|128|2002|2
129|129|2002|3
130|130|2002|4
131|131|2002|5
132|132|2002|6
133|133|2002|7
134|134|2001|1
135|135|2001|2
136|136|2001|3
137|137|2001|4
138|138|2001|5
139|139|2001|6
140|140|2001|7
141|141|2001|8
142|142|2001|9
143|143|2001|10
144|144|2001|11
145|145|2001|12
146|146|2001|13
147|147|2001|14
148|148|2001|15
149|149|2001|16
150|150|2001|17
151|151|2001|18
152|152|2001|19
153|153|2001|20
154|154|2001|21
155|155|2001|22
156|156|2001|23
157|157|2001|24
158|158|2001|25
159|159|2001|26
160|160|2001|27
161|161|2001|28
162|162|2001|29
163|163|2001|30
164|164|2001|31
165|165|2001|32
166|166|2001|33
167|167|2001|34
168|168|2001|35
169|169|2001|36
170|170|2001|37
171|171|2001|38
172|172|2001|39
173|173|2001|40
174|174|2001|41
175|175|2007|1
176|176|2007|2
177|177|2007|3
178|178|2007|4
179|179|2007|5
